1,"(Ship from US)
Scooter hover board Electric self balancing Scooter Smart wheel hoverboard unicycle Standing Skateboard drift scooter airboard",F,US $243.00/piece,Just Fashion !,21778,"http://www.aliexpress.com/item/Scooter-hover-board-Electric-self-balancing-Scooter-Smart-wheel-hoverboard-unicycle-Standing-Skateboard-drift-scooter-airboard/32555881037.html?ws_ab_test=searchweb201556_6_79_2_78_77_82_80_62,searchweb201644_0,searchweb201560_1"
?1,2015 Two Wheels Smart Self Balancing Scooters Electric Drifting Board Personal Adult Transporter with LED Light (Black),Orders (13),US $257.20/piece,iTontek,320,"http://www.aliexpress.com/item/2015-Free-shipping-Two-Wheel-Self-Balancing-Electric-Scooter-With-Key-Switch-Black/32440450689.html?ws_ab_test=searchweb201556_6_79_2_78_77_82_80_62,searchweb201644_0,searchweb201560_1"
?1,2016 free shipping smart balance wheel bluetooth speaker airboard hoverboard safe self balancing two wheels scooter,Orders (27),US $244.50 - 252.50/piece,Jacky's fashion Store 104125,267,"http://www.aliexpress.com/item/NO-TAX-Fedex-free-shipping-smart-balance-hoverboard-electric-self-standing-scooter-Monorover-r2-airboard-two/32478597643.html?ws_ab_test=searchweb201556_6_79_2_78_77_82_80_62,searchweb201644_0,searchweb201560_1"
?1,4.4Ah Lithium Battery Two-Wheel Self Balancing Scooter 500W Electric Motorcycle 6.5inch 2 Wheels Electric Scooter Free Shipping,Orders (18),US $259.48/piece,"Eglobal Technology Co., Limited",1864,"http://www.aliexpress.com/item/4-4Ah-Lithium-Battery-Two-Wheel-Self-Balancing-Scooter-500W-Electric-Unicycle-6-5inch-2-Wheels/32538658944.html?ws_ab_test=searchweb201556_6_79_2_78_77_82_80_62,searchweb201644_0,searchweb201560_1"
?1,"(Ship from US)
Black 2016 Two Wheel Self Balancing Scooter 6.5 inch 6.5 Electric Standing Smart Self Balanced Hoverboard Black",Order (1),US $300.99/piece,Auto Motor Collection,309,"http://www.aliexpress.com/item/Black-2016-Two-Wheel-Self-Balancing-Scooter-6-5-inch-6-5-Electric-Standing-Smart-Self/32559514505.html?ws_ab_test=searchweb201556_6_79_2_78_77_82_80_62,searchweb201644_0,searchweb201560_1"
?1,Free shipping 8inch smart self balancing board scooter bluetooth 8 inch bluetooth adults 2 wheel smart drifting hover board,Orders (14),US $263.89/piece,Biggest Hero,3980,"http://www.aliexpress.com/item/Free-shipping-8inchTwo-2-wheels-self-balancing-scooter-bluetooth-china-smart-self-balancing-electric-scooter-8/32522218868.html?ws_ab_test=searchweb201556_6_79_2_78_77_82_80_62,searchweb201644_0,searchweb201560_1"
?1,2 Wheel Bluetooth Smart Self Balance Scooter Two Wheel Smart Self Balancing Electric Drift Board Scooter hoverboard,Orders (71),US $215.00 - 230.00/piece,2world Fast service Phone parts,8471,"http://www.aliexpress.com/item/New-Arrive-High-Quality-2-Wheel-Smart-Electric-Balance-Scooter-Hoverboard-Outdoor-Adult-Self-Unicycle-Balancing/32522444760.html?ws_ab_test=searchweb201556_6_79_2_78_77_82_80_62,searchweb201644_0,searchweb201560_1"
?2,"(Ship from US)
Scooter hover board Electric self balancing Scooter Smart wheel hoverboard unicycle Standing Skateboard drift scooter airboard",Orders (21),US $243.00/piece,Just Fashion !,21778,"http://www.aliexpress.com/item/Scooter-hover-board-Electric-self-balancing-Scooter-Smart-wheel-hoverboard-unicycle-Standing-Skateboard-drift-scooter-airboard/32555881037.html?ws_ab_test=searchweb201556_6_79_2_78_77_82_80_62,searchweb201644_0,searchweb201560_1"
?2,"(Ship from US)
2 Wheel Self Balance Electric Scooters 6.5 Inch 500W Electric Skateboard Hoverboard 36V 4400mah Battery 7 Days Fast Delivery",Orders (36),US $233.16 - 249.40/piece,"Shenzhen VCOO Technology Co.,Ltd.",253,"http://www.aliexpress.com/item/Two-Wheels-Self-Balancing-Monorover-Hoverboard-Airboard-Smart-Self-Balance-2-Wheel-Electric-Standing-Scooter/32436138147.html?ws_ab_test=searchweb201556_6_79_2_78_77_82_80_62,searchweb201644_0,searchweb201560_1"
?2,iScooter hover board Electric self balancing Scooter Smart wheel hoverboard unicycle Standing Skateboard drift scooter airboard,Orders (2270),US $231.90 - 242.90/piece,"Shenzhen Digihero Technology Co., Ltd",8390,"http://www.aliexpress.com/item/Speedway-Electric-Scooter-Two-2-Wheel-Electric-Standing-Self-Balance-Scooters-Skateboard-Traffic-jam-for-Office/32397261750.html?ws_ab_test=searchweb201556_6_79_2_78_77_82_80_62,searchweb201644_0,searchweb201560_1"
?2,Two wheels Bicycle with Remote Key Self balancing Electric Scooter Mini Smart Balance 4400mah Electric Skateboard Hoverboard,Orders (204),US $215.00 - 233.00/piece,"Sheng Tang Technology Co., Ltd.",24063,"http://www.aliexpress.com/item/Two-wheels-Bicycle-with-Remote-Key-Self-balancing-Electric-Scooter-Mini-Smart-Balance-4400mah-Electric-Skateboard/32507601224.html?ws_ab_test=searchweb201556_6_79_2_78_77_82_80_62,searchweb201644_0,searchweb201560_1"
?2,"(Ship from US)
US UK Stock 2 Wheel Balancing Scooter Smart Electric Balance Scooter Self Unicycle Balance Board Drift Scooter Outdoor LED Light",Order (1),US $259.00/piece,Beauty Supermarket,2316,"http://www.aliexpress.com/item/2-Wheel-Balancing-Scooter-Smart-Electric-Balance-Scooter-Self-Unicycle-Balance-Board-Drift-Scooter-Outdoor-Sports/32540248902.html?ws_ab_test=searchweb201556_6_79_2_78_77_82_80_62,searchweb201644_0,searchweb201560_1"
?2,Xmas gift 2 Two Wheel Smart Self Balancing Scooter Electric Standing Scooter Unicycle Scooter Hoverboard Drifting Balance Board,Orders (135),US $255.99/piece,"NPET Technology Co., LTD",317,"http://www.aliexpress.com/item/2-wheel-electric-standing-scooter-self-balancing-scooter-Monorover-Hoverboard-Unicycle-Airboard-Electric-Drifting-Board-Personal/32462395302.html?ws_ab_test=searchweb201556_6_79_2_78_77_82_80_62,searchweb201644_0,searchweb201560_1"
?2,Electric Scooter hoverboard unicycle Smart wheel Skateboard drift airboard adult motorized 2 / two wheels self balancing scooter,Orders (238),US $500.00/piece,"Shenli Electronic Technology (HongKong) Co.,Ltd.",3285,"http://www.aliexpress.com/item/Electric-Scooter-hoverboard-unicycle-Smart-wheel-Skateboard-drift-airboard-adult-motorized-2-two-wheels-self-balancing/32524810735.html?ws_ab_test=searchweb201556_6_79_2_78_77_82_80_62,searchweb201644_0,searchweb201560_1"
?2,2 Wheel Balancing Scooter Smart Electric Balance Scooter Self Unicycle Balance Board Drift Scooter hoverboard Outdoor Sports,Orders (149),US $215.00 - 230.00/piece,"Shenzhen Shangtong Tianxia Information Consultation Co., Ltd.",12290,"http://www.aliexpress.com/item/2015-Hot-sale-2-Wheel-Smart-Electric-Balance-Scooter-Hoverboard-Outdoor-Adult-Self-Unicycle-Balancing-Mini/32522680400.html?ws_ab_test=searchweb201556_6_79_2_78_77_82_80_62,searchweb201644_0,searchweb201560_1"
?2,New 2 Wheel Balance Electric Standing Scooter Hoverboard Unicycle Smart two wheels Self Balancing Scooters Board For Adult,Orders (437),US $219.00/piece,"Lyman International Trade Group Co ., Ltd .",7949,"http://www.aliexpress.com/item/New-Electric-Scooter-Hoverboard-Smart-2-wheels-Skateboard-Drift-Airboard-For-Adult-Motorized-Two-Wheel-Self/32542073660.html?ws_ab_test=searchweb201556_6_79_2_78_77_82_80_62,searchweb201644_0,searchweb201560_1"
